track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,playlist_id,playlist_name
4rG3h1QwgjSSWz8EIjCFrm,Araw-Araw,4DAcJXcjX0zlQAZAPAx4Zb,Ben&Ben,7xCcuTA3abKwxj8HwgxP7R,313951,2019-05-12,72,0.475,0.424,11,-8.39,1,0.0295,0.582,0.0,0.234,0.224,140.903,313952,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
1WXs4O7mBxXglHJPwYweHq,Demonyo,0a4r2EnsevvHCukoJ1xFwJ,juan karlos,67vvDiZLNyjNQ1gU6El7GC,218000,2017-01-27,70,0.415,0.508,0,-9.169,1,0.0363,0.0509,0.0162,0.103,0.114,188.744,218000,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
1vzxlhQ3dujloZsqeO3Wei,Ikaw At Ako,2zFBNsALb4M2FhKl98wcvd,Johnoy Danao,7aLnwr1Jr5xfdmmKKTeBZN,287971,2010-12-08,61,0.531,0.253,9,-9.276,1,0.0927,0.702,2.33e-05,0.0843,0.199,75.602,287972,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
1LconAoXORZMqI0cAlaWSD,Away From The Current,0DouUeF604QbSdKYIL3xrq,Keiko Necesario,64JI8PYKmZCkBD2miayyPO,251402,2015-12-24,0,0.703,0.255,9,-8.67,1,0.0311,0.868,1.47e-05,0.108,0.174,115.001,251402,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
1d5BAYXRfjUfv8rqYkoxs1,Right Time,2zFBNsALb4M2FhKl98wcvd,Johnoy Danao,2mgoR6YKtUvawT9bAYwXjG,316133,2016-09-23,0,0.639,0.233,6,-11.923,1,0.0302,0.912,3.38e-05,0.111,0.368,101.119,316133,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
761frfZtZ8I2g70UsjFfBK,I Need You More Today,3XEHRbR9NMWfNzQ6TQMS9M,Caleb Santos,4TyVEjoScAou6qVjhXyYfp,233728,2016-12-02,0,0.474,0.522,11,-7.513,1,0.0408,0.36,0.0,0.123,0.448,157.225,233728,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
2E9xsudYVeGHnfrYqHFFaQ,Synesthesia (Bonus Track),7lIVjtsgz0y1oRQFBAVNzq,Mayonnaise,0YXZ1T0fxf69W28LyqL5MZ,259066,2010-08-16,0,0.292,0.397,7,-9.161,1,0.0346,0.755,0.0,0.28,0.187,86.491,259067,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
0A7YlP0GoJN8SyDTSpf3hX,iglap,3BQ7MYNeB0wMPtHYPWvu1C,syd hartha,0MP80Y63UXQGrRVnRcXGCN,167952,2018-10-26,0,0.638,0.437,3,-10.409,1,0.0582,0.521,3.15e-06,0.22,0.417,59.677,167952,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
07JZJ9YJRaiUAz9Bv8wgwH,Mabagal,5yVM85m9yNcHO6o0vaaVxW,Daniel Padilla,662p02ErqQk9DvBL38lqH7,226727,2019-08-02,3,0.356,0.339,5,-10.893,0,0.0369,0.508,3.28e-06,0.355,0.287,74.975,226728,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
0FOYt3VRWweAWgN1relGqN,Laro,3Hvxz2oZPYuo61ChHKcqQI,Autotelic,4bU263JJqschDhYZRgbnt7,320573,2016-09-30,52,0.565,0.829,0,-2.88,1,0.0264,0.00211,0.0174,0.156,0.607,139.998,320573,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
2tR5liucorXRwduxr0qEx6,Binalewala - Original Version,6ZdzYE3CEgY0Umgi3Dsgv8,Michael Dutchi Libranda,1793zMKn7sOceKYWdN7yQX,268486,2019-10-07,62,0.501,0.57,10,-6.49,1,0.0337,0.569,0.0,0.0649,0.311,139.516,268487,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
65sEZZaxTjLMD8vNgPoMz5,Imahe,28B54RKpJrEmDoGSTjsfY6,Magnus Haven,04KG42EaTfjaPbYHQ6wI3h,321817,2018-11-30,70,0.604,0.446,9,-8.01,1,0.0341,0.63,0.0,0.0859,0.199,143.946,321817,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
3EdBq6AJ190RVcq4icTHtS,Love of My Life - Multiplex Karaoke,6ZgBJRjJsK1iOJGKGZxEUv,South Border,4IkBOGQebfftx5vK9AmysA,391573,1996-07-11,55,0.626,0.487,5,-6.817,1,0.0378,0.315,0.0,0.252,0.149,132.185,391573,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
6xQs6y6CpDqK9VKCktApEL,Hiling,2JEIN1g27pZdm3hKB9EwE5,Mark Carpio,6E5TwOXhw6KyhX4P0p9vdK,235009,2015-01-15,63,0.58,0.244,4,-9.917,1,0.0361,0.808,0.0,0.092,0.385,82.121,235010,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
1uRwUQicwng6S44RtsANQv,Hatid,1YlibpAvhJBbMZMBwN1KGv,The Juans,2m8pNsbpAvJYe7rbRpkhFF,287624,2018-10-26,0,0.34,0.218,11,-14.892,1,0.0534,0.874,0.000136,0.0886,0.137,101.747,287625,3aUHKvVEwxL57y49JTuaOm,Pampatulog Hugot OPM Love song
